valid_time,latitude,longitude,t2m,number,expver
2002-03-11 00:00:00,-20.0,-45.0,297.09167,0,0001
2002-03-11 00:00:00,-20.0,-44.75,297.0155,0,0001
2002-03-11 00:00:00,-20.0,-44.5,296.52527,0,0001
2002-03-11 00:00:00,-20.0,-44.25,295.92175,0,0001
2002-03-11 00:00:00,-20.0,-44.0,294.5819,0,0001
2002-03-11 00:00:00,-20.0,-43.75,293.63074,0,0001
2002-03-11 00:00:00,-20.0,-43.5,294.48035,0,0001
2002-03-11 00:00:00,-20.0,-43.25,296.02332,0,0001
2002-03-11 00:00:00,-20.0,-43.0,296.88464,0,0001
2002-03-11 00:00:00,-20.25,-48.0,301.0409,0,0001
2002-03-11 00:00:00,-20.25,-47.75,300.2069,0,0001
2002-03-11 00:00:00,-20.25,-47.5,299.11707,0,0001
2002-03-11 00:00:00,-20.25,-47.25,298.18347,0,0001
2002-03-11 00:00:00,-20.25,-47.0,298.13855,0,0001
2002-03-11 00:00:00,-20.25,-46.75,296.7948,0,0001
2002-03-11 00:00:00,-20.25,-46.5,296.33777,0,0001
2002-03-11 00:00:00,-20.25,-46.25,296.68933,0,0001
2002-03-11 00:00:00,-20.25,-46.0,296.7401,0,0001
2002-03-11 00:00:00,-20.25,-45.75,297.11316,0,0001
2002-03-11 00:00:00,-20.25,-45.5,297.04675,0,0001
2002-03-11 00:00:00,-20.25,-45.25,296.76355,0,0001
2002-03-11 00:00:00,-20.25,-45.0,296.56628,0,0001
2002-03-11 00:00:00,-20.25,-44.75,296.59363,0,0001
2002-03-11 00:00:00,-20.25,-44.5,296.18152,0,0001
2002-03-11 00:00:00,-20.25,-44.25,295.50183,0,0001
2002-03-11 00:00:00,-20.25,-44.0,294.19128,0,0001
2002-03-11 00:00:00,-20.25,-43.75,293.3944,0,0001
2002-03-11 00:00:00,-20.25,-43.5,294.28894,0,0001
2002-03-11 00:00:00,-20.25,-43.25,296.38074,0,0001
2002-03-11 00:00:00,-20.25,-43.0,297.15808,0,0001
2002-03-11 00:00:00,-20.5,-48.0,300.4901,0,0001
2002-03-11 00:00:00,-20.5,-47.75,299.8026,0,0001
2002-03-11 00:00:00,-20.5,-47.5,298.8866,0,0001
2002-03-11 00:00:00,-20.5,-47.25,298.31628,0,0001
2002-03-11 00:00:00,-20.5,-47.0,298.7577,0,0001
2002-03-11 00:00:00,-20.5,-46.75,297.68347,0,0001
2002-03-11 00:00:00,-20.5,-46.5,297.0487,0,0001
2002-03-11 00:00:00,-20.5,-46.25,296.69714,0,0001
2002-03-11 00:00:00,-20.5,-46.0,296.74792,0,0001
2002-03-11 00:00:00,-20.5,-45.75,296.81238,0,0001
2002-03-11 00:00:00,-20.5,-45.5,296.71472,0,0001
2002-03-11 00:00:00,-20.5,-45.25,296.2948,0,0001
2002-03-11 00:00:00,-20.5,-45.0,296.05066,0,0001
2002-03-11 00:00:00,-20.5,-44.75,296.20105,0,0001
2002-03-11 00:00:00,-20.5,-44.5,295.95105,0,0001
2002-03-11 00:00:00,-20.5,-44.25,295.34753,0,0001
2002-03-11 00:00:00,-20.5,-44.0,294.86902,0,0001
2002-03-11 00:00:00,-20.5,-43.75,294.07214,0,0001
2002-03-11 00:00:00,-20.5,-43.5,294.62488,0,0001
2002-03-11 00:00:00,-20.5,-43.25,296.4237,0,0001
2002-03-11 00:00:00,-20.5,-43.0,297.0116,0,0001
2002-03-11 00:00:00,-20.75,-48.0,299.91394,0,0001
2002-03-11 00:00:00,-20.75,-47.75,299.48035,0,0001
2002-03-11 00:00:00,-20.75,-47.5,298.73425,0,0001
2002-03-11 00:00:00,-20.75,-47.25,298.09167,0,0001
2002-03-11 00:00:00,-20.75,-47.0,297.7616,0,0001
2002-03-11 00:00:00,-20.75,-46.75,297.203,0,0001
2002-03-11 00:00:00,-20.75,-46.5,296.8827,0,0001
2002-03-11 00:00:00,-20.75,-46.25,296.41003,0,0001
2002-03-11 00:00:00,-20.75,-46.0,296.703,0,0001
2002-03-11 00:00:00,-20.75,-45.75,296.3241,0,0001
2002-03-11 00:00:00,-20.75,-45.5,296.40613,0,0001
2002-03-11 00:00:00,-20.75,-45.25,296.18738,0,0001
2002-03-11 00:00:00,-20.75,-45.0,295.90417,0,0001
2002-03-11 00:00:00,-20.75,-44.75,296.0487,0,0001
2002-03-11 00:00:00,-20.75,-44.5,295.74207,0,0001
2002-03-11 00:00:00,-20.75,-44.25,295.38855,0,0001
2002-03-11 00:00:00,-20.75,-44.0,294.98035,0,0001
2002-03-11 00:00:00,-20.75,-43.75,295.1151,0,0001
2002-03-11 00:00:00,-20.75,-43.5,295.93738,0,0001
2002-03-11 00:00:00,-20.75,-43.25,296.80457,0,0001
2002-03-11 00:00:00,-20.75,-43.0,297.328,0,0001
2002-03-11 00:00:00,-21.0,-48.0,299.74988,0,0001
2002-03-11 00:00:00,-21.0,-47.75,299.25378,0,0001
2002-03-11 00:00:00,-21.0,-47.5,298.5819,0,0001
2002-03-11 00:00:00,-21.0,-47.25,298.00964,0,0001
2002-03-11 00:00:00,-21.0,-47.0,297.27136,0,0001
2002-03-11 00:00:00,-21.0,-46.75,296.52917,0,0001
2002-03-11 00:00:00,-21.0,-46.5,296.67175,0,0001
2002-03-11 00:00:00,-21.0,-46.25,296.06238,0,0001
2002-03-11 00:00:00,-21.0,-46.0,296.62292,0,0001
2002-03-11 00:00:00,-21.0,-45.75,296.19324,0,0001
2002-03-11 00:00:00,-21.0,-45.5,296.19128,0,0001
2002-03-11 00:00:00,-21.0,-45.25,296.33582,0,0001
2002-03-11 00:00:00,-21.0,-45.0,296.41394,0,0001
2002-03-11 00:00:00,-21.0,-44.75,296.36707,0,0001
2002-03-11 00:00:00,-21.0,-44.5,295.9491,0,0001
2002-03-11 00:00:00,-21.0,-44.25,295.40808,0,0001
2002-03-11 00:00:00,-21.0,-44.0,295.17957,0,0001
2002-03-11 00:00:00,-21.0,-43.75,295.37097,0,0001
2002-03-11 00:00:00,-21.0,-43.5,296.28308,0,0001
2002-03-11 00:00:00,-21.0,-43.25,297.3026,0,0001
2002-03-11 00:00:00,-21.0,-43.0,297.57605,0,0001
2002-03-11 00:00:00,-21.25,-48.0,299.75574,0,0001
2002-03-11 00:00:00,-21.25,-47.75,299.16394,0,0001
2002-03-11 00:00:00,-21.25,-47.5,298.94714,0,0001
2002-03-11 00:00:00,-21.25,-47.25,298.5077,0,0001
2002-03-11 00:00:00,-21.25,-47.0,297.81433,0,0001
2002-03-11 00:00:00,-21.25,-46.75,296.93933,0,0001
2002-03-11 00:00:00,-21.25,-46.5,296.24792,0,0001
2002-03-11 00:00:00,-21.25,-46.25,295.98035,0,0001
2002-03-11 00:00:00,-21.25,-46.0,296.14832,0,0001
2002-03-11 00:00:00,-21.25,-45.75,296.18152,0,0001
2002-03-11 00:00:00,-21.25,-45.5,296.52722,0,0001
2002-03-11 00:00:00,-21.25,-45.25,296.8534,0,0001
2002-03-11 00:00:00,-21.25,-45.0,296.7948,0,0001
2002-03-11 00:00:00,-21.25,-44.75,296.6659,0,0001
2002-03-11 00:00:00,-21.25,-44.5,296.31238,0,0001
2002-03-11 00:00:00,-21.25,-44.25,295.65027,0,0001
2002-03-11 00:00:00,-21.25,-44.0,294.99792,0,0001
2002-03-11 00:00:00,-21.25,-43.75,294.95496,0,0001
2002-03-11 00:00:00,-21.25,-43.5,296.1151,0,0001
2002-03-11 00:00:00,-21.25,-43.25,297.92175,0,0001
2002-03-11 00:00:00,-21.25,-43.0,298.75183,0,0001
2002-03-11 00:00:00,-21.5,-48.0,299.71277,0,0001
2002-03-11 00:00:00,-21.5,-47.75,299.6034,0,0001
2002-03-11 00:00:00,-21.5,-47.5,299.3534,0,0001
2002-03-11 00:00:00,-21.5,-47.25,298.93542,0,0001
2002-03-11 00:00:00,-21.5,-47.0,298.36316,0,0001
2002-03-11 00:00:00,-21.5,-46.75,297.66003,0,0001
2002-03-11 00:00:00,-21.5,-46.5,296.88464,0,0001
2002-03-11 00:00:00,-21.5,-46.25,296.2577,0,0001
2002-03-11 00:00:00,-21.5,-46.0,296.2694,0,0001
2002-03-11 00:00:00,-21.5,-45.75,296.2987,0,0001
2002-03-11 00:00:00,-21.5,-45.5,296.29675,0,0001
2002-03-11 00:00:00,-21.5,-45.25,296.21472,0,0001
2002-03-11 00:00:00,-21.5,-45.0,296.02136,0,0001
2002-03-11 00:00:00,-21.5,-44.75,295.99207,0,0001
2002-03-11 00:00:00,-21.5,-44.5,295.81042,0,0001
2002-03-11 00:00:00,-21.5,-44.25,295.5077,0,0001
2002-03-11 00:00:00,-21.5,-44.0,295.162,0,0001
