valid_time,bnds,latitude,longitude,valid_time_bnds,stl1,stl2,lblt
2002-03-11 11:30:00,0,-19.5,-43.75,2002-03-11 00:00:00,23.512262,23.106989,21.043024
2002-03-11 11:30:00,0,-19.5,-43.5,2002-03-11 00:00:00,22.882196,22.484186,19.991571
2002-03-11 11:30:00,0,-19.5,-43.25,2002-03-11 00:00:00,23.398798,22.887506,22.76922
2002-03-11 11:30:00,0,-19.5,-43.0,2002-03-11 00:00:00,23.600641,23.119684,22.712458
2002-03-11 11:30:00,0,-19.75,-48.0,2002-03-11 00:00:00,26.067987,25.567194,19.040827
2002-03-11 11:30:00,0,-19.75,-47.75,2002-03-11 00:00:00,25.66363,25.195368,18.77801
2002-03-11 11:30:00,0,-19.75,-47.5,2002-03-11 00:00:00,24.979212,24.616114,18.495234
2002-03-11 11:30:00,0,-19.75,-47.25,2002-03-11 00:00:00,23.794397,23.539362,17.646387
2002-03-11 11:30:00,0,-19.75,-47.0,2002-03-11 00:00:00,23.074091,22.861963,18.540583
2002-03-11 11:30:00,0,-19.75,-46.75,2002-03-11 00:00:00,22.898249,22.71255,18.35995
2002-03-11 11:30:00,0,-19.75,-46.5,2002-03-11 00:00:00,23.146784,22.908655,17.60702
2002-03-11 11:30:00,0,-19.75,-46.25,2002-03-11 00:00:00,23.34289,23.042383,18.014063
2002-03-11 11:30:00,0,-19.75,-46.0,2002-03-11 00:00:00,24.228815,23.83053,19.591974
2002-03-11 11:30:00,0,-19.75,-45.75,2002-03-11 00:00:00,25.112177,24.646204,20.96905
2002-03-11 11:30:00,0,-19.75,-45.5,2002-03-11 00:00:00,25.289026,24.817438,20.881037
2002-03-11 11:30:00,0,-19.75,-45.25,2002-03-11 00:00:00,25.212854,24.69967,20.40957
2002-03-11 11:30:00,0,-19.75,-45.0,2002-03-11 00:00:00,25.031366,24.470026,19.150385
2002-03-11 11:30:00,0,-19.75,-44.75,2002-03-11 00:00:00,24.79278,24.264948,22.618525
2002-03-11 11:30:00,0,-19.75,-44.5,2002-03-11 00:00:00,24.37359,23.873255,22.324701
2002-03-11 11:30:00,0,-19.75,-44.25,2002-03-11 00:00:00,24.212946,23.721735,21.215052
2002-03-11 11:30:00,0,-19.75,-44.0,2002-03-11 00:00:00,24.020227,23.549952,22.108759
2002-03-11 11:30:00,0,-19.75,-43.75,2002-03-11 00:00:00,23.345331,22.921106,20.476282
2002-03-11 11:30:00,0,-19.75,-43.5,2002-03-11 00:00:00,22.875788,22.440088,19.529993
2002-03-11 11:30:00,0,-19.75,-43.25,2002-03-11 00:00:00,23.493128,22.961237,23.24151
2002-03-11 11:30:00,0,-19.75,-43.0,2002-03-11 00:00:00,23.910852,23.350153,23.277643
