valid_time,latitude,longitude,number,expver,u10
2002-03-11 22:00:00,-19.75,-44.0,0,0001,-1.7584991
2002-03-11 22:00:00,-19.75,-43.75,0,0001,-1.8063507
2002-03-11 22:00:00,-19.75,-43.5,0,0001,-1.9010773
2002-03-11 22:00:00,-19.75,-43.25,0,0001,-1.8112335
2002-03-11 22:00:00,-19.75,-43.0,0,0001,-2.160843
2002-03-11 22:00:00,-20.0,-48.0,0,0001,-1.5788116
2002-03-11 22:00:00,-20.0,-47.75,0,0001,-1.4840851
2002-03-11 22:00:00,-20.0,-47.5,0,0001,-1.7204132
2002-03-11 22:00:00,-20.0,-47.25,0,0001,-1.5543976
2002-03-11 22:00:00,-20.0,-47.0,0,0001,-1.756546
2002-03-11 22:00:00,-20.0,-46.75,0,0001,-2.0192413
2002-03-11 22:00:00,-20.0,-46.5,0,0001,-2.113968
2002-03-11 22:00:00,-20.0,-46.25,0,0001,-1.7711945
2002-03-11 22:00:00,-20.0,-46.0,0,0001,-1.732132
2002-03-11 22:00:00,-20.0,-45.75,0,0001,-1.9557648
2002-03-11 22:00:00,-20.0,-45.5,0,0001,-2.0124054
2002-03-11 22:00:00,-20.0,-45.25,0,0001,-1.7184601
2002-03-11 22:00:00,-20.0,-45.0,0,0001,-1.6442413
2002-03-11 22:00:00,-20.0,-44.75,0,0001,-1.959671
2002-03-11 22:00:00,-20.0,-44.5,0,0001,-1.9391632
2002-03-11 22:00:00,-20.0,-44.25,0,0001,-2.0768585
2002-03-11 22:00:00,-20.0,-44.0,0,0001,-2.0084991
2002-03-11 22:00:00,-20.0,-43.75,0,0001,-1.9684601
2002-03-11 22:00:00,-20.0,-43.5,0,0001,-1.7799835
2002-03-11 22:00:00,-20.0,-43.25,0,0001,-1.8209991
2002-03-11 22:00:00,-20.0,-43.0,0,0001,-2.1745148
2002-03-11 22:00:00,-20.25,-48.0,0,0001,-1.2956085
2002-03-11 22:00:00,-20.25,-47.75,0,0001,-1.2653351
2002-03-11 22:00:00,-20.25,-47.5,0,0001,-1.537796
2002-03-11 22:00:00,-20.25,-47.25,0,0001,-1.5973663
2002-03-11 22:00:00,-20.25,-47.0,0,0001,-1.5661163
2002-03-11 22:00:00,-20.25,-46.75,0,0001,-1.8893585
2002-03-11 22:00:00,-20.25,-46.5,0,0001,-2.200882
2002-03-11 22:00:00,-20.25,-46.25,0,0001,-1.850296
2002-03-11 22:00:00,-20.25,-46.0,0,0001,-1.7555695
2002-03-11 22:00:00,-20.25,-45.75,0,0001,-2.0270538
2002-03-11 22:00:00,-20.25,-45.5,0,0001,-1.9870148
2002-03-11 22:00:00,-20.25,-45.25,0,0001,-1.850296
2002-03-11 22:00:00,-20.25,-45.0,0,0001,-1.7418976
2002-03-11 22:00:00,-20.25,-44.75,0,0001,-1.7418976
2002-03-11 22:00:00,-20.25,-44.5,0,0001,-1.834671
2002-03-11 22:00:00,-20.25,-44.25,0,0001,-1.7379913
2002-03-11 22:00:00,-20.25,-44.0,0,0001,-1.7077179
2002-03-11 22:00:00,-20.25,-43.75,0,0001,-1.8249054
2002-03-11 22:00:00,-20.25,-43.5,0,0001,-1.7038116
2002-03-11 22:00:00,-20.25,-43.25,0,0001,-1.5788116
2002-03-11 22:00:00,-20.25,-43.0,0,0001,-1.6989288
2002-03-11 22:00:00,-20.5,-48.0,0,0001,-1.5426788
2002-03-11 22:00:00,-20.5,-47.75,0,0001,-1.5553741
2002-03-11 22:00:00,-20.5,-47.5,0,0001,-1.5973663
2002-03-11 22:00:00,-20.5,-47.25,0,0001,-2.0280304
2002-03-11 22:00:00,-20.5,-47.0,0,0001,-1.6188507
2002-03-11 22:00:00,-20.5,-46.75,0,0001,-1.6647491
2002-03-11 22:00:00,-20.5,-46.5,0,0001,-1.9782257
2002-03-11 22:00:00,-20.5,-46.25,0,0001,-2.0036163
2002-03-11 22:00:00,-20.5,-46.0,0,0001,-1.9098663
2002-03-11 22:00:00,-20.5,-45.75,0,0001,-1.9215851
2002-03-11 22:00:00,-20.5,-45.5,0,0001,-1.8112335
2002-03-11 22:00:00,-20.5,-45.25,0,0001,-1.7731476
2002-03-11 22:00:00,-20.5,-45.0,0,0001,-1.569046
2002-03-11 22:00:00,-20.5,-44.75,0,0001,-1.1989288
2002-03-11 22:00:00,-20.5,-44.5,0,0001,-1.5622101
2002-03-11 22:00:00,-20.5,-44.25,0,0001,-1.5182648
2002-03-11 22:00:00,-20.5,-44.0,0,0001,-1.654007
2002-03-11 22:00:00,-20.5,-43.75,0,0001,-1.7711945
2002-03-11 22:00:00,-20.5,-43.5,0,0001,-1.685257
2002-03-11 22:00:00,-20.5,-43.25,0,0001,-1.5143585
2002-03-11 22:00:00,-20.5,-43.0,0,0001,-1.3454132
2002-03-11 22:00:00,-20.75,-48.0,0,0001,-1.7272491
2002-03-11 22:00:00,-20.75,-47.75,0,0001,-1.7692413
2002-03-11 22:00:00,-20.75,-47.5,0,0001,-1.6305695
2002-03-11 22:00:00,-20.75,-47.25,0,0001,-2.15596
2002-03-11 22:00:00,-20.75,-47.0,0,0001,-1.700882
2002-03-11 22:00:00,-20.75,-46.75,0,0001,-1.6354523
2002-03-11 22:00:00,-20.75,-46.5,0,0001,-1.8678741
2002-03-11 22:00:00,-20.75,-46.25,0,0001,-1.7389679
2002-03-11 22:00:00,-20.75,-46.0,0,0001,-2.0016632
2002-03-11 22:00:00,-20.75,-45.75,0,0001,-1.9381866
2002-03-11 22:00:00,-20.75,-45.5,0,0001,-1.6569366
2002-03-11 22:00:00,-20.75,-45.25,0,0001,-1.5387726
2002-03-11 22:00:00,-20.75,-45.0,0,0001,-1.1676788
2002-03-11 22:00:00,-20.75,-44.75,0,0001,-0.7780304
2002-03-11 22:00:00,-20.75,-44.5,0,0001,-1.2711945
2002-03-11 22:00:00,-20.75,-44.25,0,0001,-1.904007
2002-03-11 22:00:00,-20.75,-44.0,0,0001,-2.0641632
2002-03-11 22:00:00,-20.75,-43.75,0,0001,-2.0299835
2002-03-11 22:00:00,-20.75,-43.5,0,0001,-1.6344757
2002-03-11 22:00:00,-20.75,-43.25,0,0001,-1.6891632
2002-03-11 22:00:00,-20.75,-43.0,0,0001,-1.5348663
2002-03-11 22:00:00,-21.0,-48.0,0,0001,-1.5338898
2002-03-11 22:00:00,-21.0,-47.75,0,0001,-1.6061554
2002-03-11 22:00:00,-21.0,-47.5,0,0001,-1.819046
2002-03-11 22:00:00,-21.0,-47.25,0,0001,-1.7067413
2002-03-11 22:00:00,-21.0,-47.0,0,0001,-1.638382
2002-03-11 22:00:00,-21.0,-46.75,0,0001,-1.7243195
2002-03-11 22:00:00,-21.0,-46.5,0,0001,-1.9206085
2002-03-11 22:00:00,-21.0,-46.25,0,0001,-1.4528351
2002-03-11 22:00:00,-21.0,-46.0,0,0001,-1.7155304
2002-03-11 22:00:00,-21.0,-45.75,0,0001,-1.7379913
