valid_time,latitude,longitude,stl1,stl2,lblt,number,expver
2002-03-11 00:00:00,-19.75,-47.75,299.47705,299.3308,291.92603,0,0001
2002-03-11 00:00:00,-19.75,-47.5,298.83643,298.8269,291.6433,0,0001
2002-03-11 00:00:00,-19.75,-47.25,297.46924,297.80737,290.79663,0,0001
2002-03-11 00:00:00,-19.75,-47.0,296.58838,297.10425,291.69067,0,0001
2002-03-11 00:00:00,-19.75,-46.75,296.17822,297.0515,291.50952,0,0001
2002-03-11 00:00:00,-19.75,-46.5,296.33252,297.22925,290.7566,0,0001
2002-03-11 00:00:00,-19.75,-46.25,296.48486,297.29956,291.16382,0,0001
2002-03-11 00:00:00,-19.75,-46.0,297.48486,298.0105,292.74194,0,0001
2002-03-11 00:00:00,-19.75,-45.75,298.45557,298.80542,294.1189,0,0001
2002-03-11 00:00:00,-19.75,-45.5,298.55127,298.98315,294.03003,0,0001
2002-03-11 00:00:00,-19.75,-45.25,298.52197,298.72925,293.55835,0,0001
2002-03-11 00:00:00,-19.75,-45.0,298.27002,298.45776,292.29907,0,0001
2002-03-11 00:00:00,-19.75,-44.75,297.9829,298.2312,295.8777,0,0001
2002-03-11 00:00:00,-19.75,-44.5,297.6372,297.81714,295.57983,0,0001
2002-03-11 00:00:00,-19.75,-44.25,297.4712,297.67847,294.37915,0,0001
2002-03-11 00:00:00,-19.75,-44.0,297.18018,297.489,295.55835,0,0001
2002-03-11 00:00:00,-19.75,-43.75,296.3169,296.8816,293.92603,0,0001
2002-03-11 00:00:00,-19.75,-43.5,295.65088,296.4558,292.83765,0,0001
2002-03-11 00:00:00,-19.75,-43.25,296.229,296.96948,296.87427,0,0001
2002-03-11 00:00:00,-19.75,-43.0,296.9126,297.26245,296.90356,0,0001
2002-03-11 00:00:00,-20.0,-48.0,301.01025,300.7644,294.4729,0,0001
2002-03-11 00:00:00,-20.0,-47.75,300.55322,300.35815,294.12866,0,0001
2002-03-11 00:00:00,-20.0,-47.5,299.5669,299.52808,293.7649,0,0001
2002-03-11 00:00:00,-20.0,-47.25,298.08643,298.4187,294.75952,0,0001
2002-03-11 00:00:00,-20.0,-47.0,296.59814,297.3308,294.56128,0,0001
2002-03-11 00:00:00,-20.0,-46.75,295.82666,296.79956,290.74927,0,0001
2002-03-11 00:00:00,-20.0,-46.5,296.20752,297.1277,290.67798,0,0001
2002-03-11 00:00:00,-20.0,-46.25,297.2798,297.93433,291.39868,0,0001
2002-03-11 00:00:00,-20.0,-46.0,298.21338,298.6355,292.88647,0,0001
2002-03-11 00:00:00,-20.0,-45.75,298.36182,298.84058,293.9558,0,0001
2002-03-11 00:00:00,-20.0,-45.5,298.3462,298.81323,293.7771,0,0001
2002-03-11 00:00:00,-20.0,-45.25,297.94385,298.19604,292.09595,0,0001
2002-03-11 00:00:00,-20.0,-45.0,297.88525,298.04956,291.80298,0,0001
2002-03-11 00:00:00,-20.0,-44.75,297.68408,297.90503,296.17114,0,0001
2002-03-11 00:00:00,-20.0,-44.5,297.01416,297.40698,296.30737,0,0001
2002-03-11 00:00:00,-20.0,-44.25,296.75244,297.22144,295.8567,0,0001
2002-03-11 00:00:00,-20.0,-44.0,295.85205,296.6101,295.54272,0,0001
2002-03-11 00:00:00,-20.0,-43.75,294.979,295.96362,294.177,0,0001
2002-03-11 00:00:00,-20.0,-43.5,295.11572,296.02222,294.46997,0,0001
2002-03-11 00:00:00,-20.0,-43.25,296.00244,296.77417,296.96216,0,0001
2002-03-11 00:00:00,-20.0,-43.0,297.39307,297.86206,295.06323,0,0001
2002-03-11 00:00:00,-20.25,-48.0,301.32666,301.08276,295.2351,0,0001
2002-03-11 00:00:00,-20.25,-47.75,300.5044,300.323,295.57788,0,0001
2002-03-11 00:00:00,-20.25,-47.5,299.41455,299.38745,293.34497,0,0001
2002-03-11 00:00:00,-20.25,-47.25,298.5083,298.75464,294.91577,0,0001
2002-03-11 00:00:00,-20.25,-47.0,297.5298,298.37573,295.16382,0,0001
2002-03-11 00:00:00,-20.25,-46.75,296.81494,297.7644,292.11792,0,0001
2002-03-11 00:00:00,-20.25,-46.5,296.80127,297.59644,291.0144,0,0001
